sale_id,product_id,sale_date,revenue,discount
1,711,2024-03-02,177.3,12.51
2,502,2024-07-03,60.1,7.54
3,306,2023-11-16,50.96,22.89
4,838,2023-11-14,161.27,3.03
5,527,2024-05-18,190.69,10.9
6,205,2023-10-25,106.39,0.73
7,835,2024-07-13,56.68,22.88
8,80,2023-08-28,64.82,5.07
9,111,2023-11-08,62.67,17.05
10,818,2023-08-26,49.74,11.66
11,820,2023-10-03,169.34,29.14
12,145,2024-02-20,106.51,21.66
13,231,2024-01-09,108.45,4.71
14,652,2023-08-25,123.16,2.7
15,55,2023-11-29,178.65,7.69
16,913,2024-07-12,133.4,9.0
17,973,2024-01-29,152.06,8.12
18,792,2024-03-07,184.63,6.73
19,927,2024-01-06,194.83,28.25
20,991,2023-12-01,161.9,2.0
21,620,2024-04-01,168.56,2.79
22,589,2023-11-20,192.92,4.06
23,86,2023-09-14,57.14,17.37
24,752,2024-06-12,135.29,12.78
25,844,2023-11-11,180.99,24.04
26,238,2023-11-23,86.8,19.08
27,779,2024-04-15,107.49,18.83
28,884,2024-02-28,92.59,10.93
29,981,2024-07-09,101.9,14.02
30,327,2024-02-04,135.22,17.22
31,429,2024-04-06,37.93,16.26
32,987,2024-02-17,164.17,16.78
33,594,2024-03-11,129.56,27.62
34,109,2023-11-02,58.03,6.67
35,768,2024-01-14,81.52,0.23
36,228,2024-06-11,31.25,28.32
37,448,2024-05-15,159.98,29.97
38,773,2023-09-11,133.88,16.49
39,993,2024-01-20,94.8,21.85
40,482,2024-07-14,37.48,24.62
41,856,2023-11-27,102.63,25.92
42,754,2024-03-23,164.29,11.56
43,79,2024-04-05,21.82,20.52
44,531,2023-11-28,25.13,16.72
45,580,2024-02-18,113.42,19.34
46,433,2023-11-29,168.62,14.8
47,660,2023-11-02,107.56,26.64
48,880,2024-07-31,123.03,3.95
49,197,2024-06-23,187.67,20.57
50,106,2023-08-28,175.32,17.14
51,145,2024-05-05,136.35,2.65
52,527,2023-12-22,59.02,24.37
53,995,2024-06-03,173.47,15.95
54,41,2024-01-11,127.97,11.63
55,367,2024-06-07,131.07,10.62
56,577,2024-03-24,151.54,5.6
57,723,2024-01-30,175.54,2.63
58,86,2024-05-24,153.32,18.2
59,298,2023-10-03,177.49,19.87
60,611,2023-09-18,195.57,20.59
61,575,2024-07-08,194.16,18.32
62,214,2024-05-11,127.07,5.1
63,721,2024-01-14,172.64,19.51
64,618,2024-01-21,113.66,1.72
65,535,2023-08-03,69.67,14.05
66,364,2024-06-18,145.12,21.34
67,738,2024-04-23,39.34,16.36
68,261,2023-09-10,112.46,20.23
69,381,2024-06-08,84.55,27.34
70,637,2023-08-28,105.5,8.09
71,585,2023-08-04,148.21,23.39
72,946,2023-08-09,73.09,18.46
73,170,2023-11-25,176.85,15.69
74,431,2024-02-14,58.66,11.06
75,728,2024-04-03,45.7,18.11
76,747,2024-03-07,129.77,17.65
77,950,2024-06-16,193.99,7.41
78,139,2024-03-26,47.82,4.21
79,131,2023-10-30,123.03,19.86
80,866,2024-03-19,159.67,6.92
81,429,2024-04-25,127.35,28.94
82,897,2024-06-24,141.85,14.06
83,213,2023-11-21,20.3,3.14
84,752,2024-07-20,138.4,25.7
85,717,2024-04-12,69.41,13.92
86,521,2023-08-18,197.91,20.16
87,431,2024-07-31,41.71,4.69
88,820,2024-04-06,121.92,21.96
89,906,2023-09-06,177.82,28.99
90,555,2023-10-18,162.23,24.41
91,760,2023-11-02,197.13,18.1
92,839,2024-02-23,119.11,15.13
93,358,2024-02-12,192.52,1.03
94,843,2023-11-22,115.64,28.71
95,668,2024-01-18,68.38,29.07
96,306,2023-08-21,47.18,28.17
97,310,2024-02-03,171.67,26.14
98,660,2024-01-14,182.76,11.12
99,702,2023-10-26,53.99,28.54
100,642,2023-08-20,51.16,13.97
101,49,2023-10-17,39.23,5.63
102,131,2023-12-02,43.81,18.78
103,802,2024-07-26,123.14,19.41
104,848,2024-05-24,171.4,28.56
105,561,2024-04-01,165.37,4.61
106,763,2024-07-16,45.47,2.4
107,841,2024-06-16,110.38,19.14
108,809,2023-12-28,144.31,18.66
109,676,2023-08-06,112.87,11.87
110,932,2023-08-10,44.09,23.36
111,672,2024-05-21,172.06,29.99
112,185,2023-10-04,38.4,27.78
113,566,2024-03-26,90.86,1.26
114,718,2024-01-27,104.41,12.44
115,607,2023-11-30,186.52,21.28
116,529,2023-10-18,175.11,17.83
117,940,2023-09-06,156.09,18.04
118,91,2024-06-12,183.6,4.46
119,474,2024-06-20,136.56,6.05
120,795,2023-08-18,47.56,19.51
121,420,2024-07-10,197.39,20.35
122,295,2023-09-27,96.25,14.26
123,562,2024-07-19,101.23,11.49
124,773,2023-11-15,83.92,12.65
125,358,2024-02-08,34.27,12.65
126,444,2023-11-23,164.81,1.28
127,999,2023-10-28,47.75,20.92
128,151,2024-06-14,178.54,24.07
129,367,2023-09-27,36.02,18.08
130,279,2024-04-26,52.06,10.69
131,234,2024-01-09,63.83,8.91
132,494,2024-01-21,23.58,22.92
133,578,2023-12-16,90.75,23.29
134,464,2023-12-05,57.67,4.61
135,20,2024-03-06,73.1,26.18
136,227,2024-05-07,189.78,7.6
137,977,2024-04-02,70.86,13.26
138,752,2024-04-17,62.93,27.07
139,805,2023-10-24,184.6,27.19
140,309,2023-09-29,174.42,24.27
141,989,2024-07-12,134.1,28.91
142,393,2024-05-03,101.45,14.74
143,796,2023-11-01,173.51,2.47
144,924,2024-01-16,176.68,20.46
145,966,2023-12-03,109.93,25.3
146,563,2024-05-16,113.49,14.28
147,508,2024-07-06,130.95,24.23
148,31,2024-06-18,78.96,22.2
149,971,2024-06-05,171.83,16.81
150,810,2023-10-18,109.66,15.57
151,686,2023-09-21,97.91,8.1
152,704,2023-11-21,61.9,4.91
153,830,2023-10-01,171.05,17.03
154,208,2024-07-22,114.27,28.34
155,111,2023-09-25,90.02,8.92
156,44,2024-03-20,116.26,21.6
157,629,2024-06-13,49.41,24.85
158,49,2023-11-13,170.93,9.92
159,99,2024-02-25,52.39,25.97
160,558,2024-05-25,45.66,9.66
161,543,2024-01-12,21.38,1.64
162,253,2023-11-26,73.47,25.63
163,561,2023-12-01,38.77,26.66
164,284,2023-10-07,140.89,4.55
165,955,2024-02-22,98.62,16.64
166,399,2023-12-21,143.43,16.6
167,12,2024-03-10,73.95,3.05
168,604,2023-11-26,64.53,5.13
169,972,2023-08-09,56.19,7.6
170,641,2024-05-28,123.65,7.05
171,868,2024-03-18,139.16,27.44
172,98,2024-05-28,161.1,12.86
173,742,2023-12-22,172.81,3.88
174,94,2024-07-14,43.56,28.09
175,538,2023-11-05,88.08,10.55
176,732,2023-10-20,113.97,4.28
177,925,2023-08-06,122.07,4.29
178,857,2024-07-15,182.44,17.32
179,936,2024-01-22,184.81,8.69
180,499,2023-10-03,53.11,14.92
181,59,2024-01-27,96.4,14.83
182,493,2024-03-23,129.11,25.62
183,596,2024-02-10,85.84,3.92
184,628,2024-01-05,138.65,8.38
185,557,2024-06-01,172.12,21.45
186,639,2024-07-25,46.38,21.59
187,434,2024-04-04,66.9,28.92
188,193,2023-08-30,146.48,2.98
189,823,2024-03-19,94.11,11.31
190,582,2024-01-25,177.72,23.67
191,666,2024-02-11,191.8,15.5
192,433,2023-12-17,95.27,5.4
193,668,2023-08-16,180.78,9.33
194,310,2023-09-03,196.64,3.76
195,552,2024-06-20,49.78,5.2
196,135,2023-08-07,117.21,0.41
197,971,2023-08-02,181.37,19.32
198,389,2023-11-15,41.24,10.75
199,65,2023-09-15,162.85,19.45
200,280,2024-04-19,147.01,15.3
201,439,2024-07-22,44.43,2.67
202,800,2023-09-07,142.4,0.53
203,299,2024-03-26,56.67,22.68
204,493,2024-05-06,23.2,20.26
205,946,2023-09-13,117.7,10.17
206,894,2023-12-25,163.68,20.59
207,267,2023-08-28,40.67,27.3
208,93,2024-04-19,42.06,0.68
209,390,2024-03-18,40.96,25.46
210,180,2023-12-22,114.38,21.19
211,240,2024-06-16,177.32,13.67
212,595,2024-06-26,22.62,18.0
213,254,2023-12-30,114.85,15.3
214,54,2024-05-05,53.09,0.54
215,134,2024-06-09,33.82,6.35
216,725,2023-08-15,119.87,8.71
217,390,2023-08-31,47.86,24.37
218,560,2023-09-27,122.27,21.19
219,481,2024-02-14,37.39,13.76
220,174,2024-05-09,70.08,26.93
221,872,2024-03-03,177.77,10.01
222,77,2023-10-16,29.25,17.82
223,153,2023-08-19,186.81,20.45
224,471,2023-09-26,21.47,22.08
225,305,2023-08-03,57.22,18.2
226,848,2023-09-16,168.31,14.18
227,901,2024-02-18,186.65,3.81
228,758,2024-05-17,46.72,5.41
229,278,2024-04-11,64.92,13.2
230,86,2023-11-08,54.72,26.0
231,661,2023-12-23,173.78,21.81
232,641,2024-03-02,109.19,21.34
233,712,2024-04-27,62.29,21.35
234,37,2023-12-06,191.66,5.86
235,445,2024-02-10,21.64,23.27
236,278,2024-07-09,57.56,9.65
237,348,2024-03-07,101.3,9.51
238,395,2024-07-19,135.5,21.24
239,113,2024-05-09,113.88,26.11
240,278,2024-01-09,37.13,2.66
241,664,2023-09-12,197.5,26.59
242,980,2023-10-17,20.34,2.23
243,590,2024-02-19,75.97,20.33
244,656,2023-09-14,131.69,1.23
245,351,2024-03-27,168.1,4.15
246,806,2024-04-01,116.25,21.55
247,92,2024-06-30,150.72,29.03
248,444,2024-05-26,125.63,8.85
249,280,2024-02-26,62.0,18.5
250,828,2024-07-03,171.65,16.69
251,506,2023-08-10,99.53,2.68
252,897,2024-07-26,195.85,27.26
253,583,2023-11-12,138.22,15.23
254,726,2024-02-10,70.11,9.54
255,618,2023-11-28,194.6,16.51
256,132,2023-11-26,162.46,29.29
257,8,2024-07-04,74.38,25.13
258,567,2024-01-14,127.27,25.46
259,572,2024-01-25,30.76,24.07
260,99,2024-07-01,107.77,27.84
261,898,2024-02-02,110.86,2.78
262,385,2023-12-07,178.33,0.49
263,339,2024-07-25,136.54,15.67
264,668,2024-02-29,27.14,19.77
265,854,2024-05-04,91.38,4.69
266,396,2023-09-29,179.44,24.22
267,231,2023-09-19,124.94,6.45
268,834,2024-05-09,57.06,23.56
269,614,2024-06-11,83.43,11.49
270,701,2024-04-12,77.74,7.68
271,764,2023-10-24,149.5,1.01
272,72,2024-05-27,104.09,28.31
273,865,2024-02-14,189.58,10.34
274,751,2024-03-31,46.77,3.47
